 db  | insee |                 name                  | idvoie  |    cea     | l5_insee | delta 
-----+-------+---------------------------------------+---------+------------+----------+-------
 BAN | 01187 | LE CHENET                             |         |            | 01187    | !
 RAN | 01187 | LE CHENET                             | 4310144 | 011762223I | 01176    | !
 BAN | 01204 | LE VILLAGE                            |         |            | 01204    | !
 RAN | 01204 | LE VILLAGE                            |   10906 | 0130022223 | 01300    | !
 BAN | 01204 | MOULIN DE CHARIX                      |         |            | 01204    | !
 RAN | 01204 | MOULIN DE CHARIX                      |   10909 | 0130022227 | 01300    | !
 RAN | 01204 | MOULIN DE CHARIX                      |    7368 | 012042222B | 01204    | !
 BAN | 01450 | LA MORENE                             |         |            | 01450    | !
 RAN | 01450 | LA MORENE                             |    9016 | 014502222C | 01253    | !
 BAN | 02053 | RUE PRINCIPALE                        |         |            | 02053    | !
 RAN | 02053 | RUE PRINCIPALE                        | 2836932 | 026692222X | 02669    | !
 RAN | 02053 | RUE PRINCIPALE                        |   17463 | 0205322239 | 02053    | !
 BAN | 02458 | LES TOURNEUX                          |         |            | 02458    | !
 RAN | 02458 | LES TOURNEUX                          |   22620 | 023252222C | 02325    | !
 RAN | 02458 | LES TOURNEUX                          | 4178350 | 024582229L | 02458    | !
 BAN | 04023 | LE GAINE                              |         |            | 04023    | !
 RAN | 04023 | LE GAINE                              |   60452 | 040232222H | 04165    | !
 BAN | 04023 | LENGOUN                               |         |            | 04023    | !
 RAN | 04023 | LENGOUN                               |   60455 | 040232222L | 04165    | !
 BAN | 04049 | RUE PIERRE CURIE                      |         |            | 04049    | !
 RAN | 04049 | RUE PIERRE CURIE                      |   63201 | 04049222BM | 04920    | !
 BAN | 04108 | LES BELLOIRS                          |         |            | 04108    | !
 RAN | 04108 | LES BELLOIRS                          |   55763 | 0410822223 | 04056    | !
 BAN | 04120 | LE VILLAGE                            |         |            | 04120    | !
 RAN | 04120 | LE VILLAGE                            |   57306 | 0410022223 | 04100    | !
 RAN | 04120 | LE VILLAGE                            |   58557 | 0412022223 | 04120    | !
 BAN | 05061 | RUE PRE MONGIL                        |         |            | 05061    | !
 RAN | 05061 | RUE PRE MONGIL                        |   66059 | 05061222SV | 05125    | !
 BAN | 05139 | LES BLACHOUS                          |         |            | 05139    | !
 RAN | 05139 | LES BLACHOUS                          | 4266277 | 0504222226 | 05042    | !
 BAN | 05139 | MALMORT                               |         |            | 05139    | !
 RAN | 05139 | MALMORT                               | 3374585 | 051382222U | 05138    | !
 BAN | 05139 | RUE CENTRALE                          |         |            | 05139    | !
 RAN | 05139 | RUE CENTRALE                          | 4178422 | 050022223N | 05002    | !
 BAN | 05139 | RUE DE COUINE                         |         |            | 05139    | !
 RAN | 05139 | RUE DE COUINE                         | 4178421 | 050022223M | 05002    | !
 BAN | 05139 | RUE DE LA COMBE                       |         |            | 05139    | !
 RAN | 05139 | RUE DE LA COMBE                       | 4178428 | 050022223V | 05002    | !
 BAN | 05139 | RUE DE LA FORGE                       |         |            | 05139    | !
 RAN | 05139 | RUE DE LA FORGE                       | 4178424 | 050022223R | 05002    | !
 BAN | 05139 | RUE DE LA PISCINE                     |         |            | 05139    | !
 RAN | 05139 | RUE DE LA PISCINE                     | 4178404 | 0500222237 | 05002    | !
 BAN | 05139 | RUE DE L ECOLE                        |         |            | 05139    | !
 RAN | 05139 | RUE DE L ECOLE                        | 4178419 | 050022223L | 05002    | !
 BAN | 05139 | RUE DE L EGLISE                       |         |            | 05139    | !
 RAN | 05139 | RUE DE L EGLISE                       | 4178427 | 050022223U | 05002    | !
 BAN | 05139 | RUE DE MAUBOURG                       |         |            | 05139    | !
 RAN | 05139 | RUE DE MAUBOURG                       |   63255 | 050022222L | 05002    | !
 BAN | 05139 | RUE DU CORDONNIER                     |         |            | 05139    | !
 RAN | 05139 | RUE DU CORDONNIER                     | 4178429 | 050022223X | 05002    | !
 BAN | 05139 | RUE MOISSIART                         |         |            | 05139    | !
 RAN | 05139 | RUE MOISSIART                         | 4178425 | 050022223S | 05002    | !
 BAN | 06004 | ALLEE DES EGLANTIERS                  |   68003 | 06004222YS | 06004    | !
 RAN | 06004 | ALLEE DES EGLANTIERS                  |   68003 | 06004222YS | 06924    | !
 BAN | 06004 | ALLEE DES MOUETTES                    |   68043 | 060042232B | 06004    | !
 RAN | 06004 | ALLEE DES MOUETTES                    |   68043 | 060042232B | 06924    | !
 BAN | 06004 | ALLEE DES ORANGERS                    |   67484 | 060042226G | 06004    | !
 RAN | 06004 | ALLEE DES ORANGERS                    |   67484 | 060042226G | 06924    | !
 BAN | 06004 | ALLEE DES PINS DORES                  |   67431 | 060042223B | 06004    | !
 RAN | 06004 | ALLEE DES PINS DORES                  |   67431 | 060042223B | 06924    | !
 BAN | 06004 | ALLEE DES PINS PARASOLS               | 2823230 | 060042234Z | 06004    | !
 RAN | 06004 | ALLEE DES PINS PARASOLS               | 2823230 | 060042234Z | 06924    | !
 BAN | 06004 | ALLEE DES SABLES                      |   68011 | 06004222Z2 | 06004    | !
 RAN | 06004 | ALLEE DES SABLES                      |   68011 | 06004222Z2 | 06924    | !
 BAN | 06004 | ALLEE VENET                           |   67512 | 060042227L | 06004    | !
 RAN | 06004 | ALLEE VENET                           |   67512 | 060042227L | 06924    | !
 BAN | 06004 | AVENUE AIME BOURREAU                  |   67964 | 06004222X7 | 06004    | !
 RAN | 06004 | AVENUE AIME BOURREAU                  |   67964 | 06004222X7 | 06924    | !
 BAN | 06004 | AVENUE ALEXANDRE III                  |   67402 | 0600422226 | 06004    | !
 RAN | 06004 | AVENUE ALEXANDRE III                  |   67402 | 0600422226 | 06924    | !
 BAN | 06004 | AVENUE ALPHONSE DAUDET                |   67429 | 0600422239 | 06004    | !
 RAN | 06004 | AVENUE ALPHONSE DAUDET                |   67429 | 0600422239 | 06924    | !
 BAN | 06004 | AVENUE AMIRAL COURBET                 |   67424 | 0600422232 | 06004    | !
 RAN | 06004 | AVENUE AMIRAL COURBET                 |   67424 | 0600422232 | 06924    | !
 BAN | 06004 | AVENUE ANDRE SELLA                    |   67998 | 06004222YL | 06004    | !
 RAN | 06004 | AVENUE ANDRE SELLA                    |   67998 | 06004222YL | 06924    | !
 BAN | 06004 | AVENUE BOUE DE LAPEYRERE              |   67972 | 06004222XI | 06004    | !
 RAN | 06004 | AVENUE BOUE DE LAPEYRERE              |   67972 | 06004222XI | 06924    | !
 BAN | 06004 | AVENUE COMMANDANT GARBE               |   68004 | 06004222YT | 06004    | !
 RAN | 06004 | AVENUE COMMANDANT GARBE               |   68004 | 06004222YT | 06924    | !
 BAN | 06004 | AVENUE D ADOUA                        |   67400 | 0600422223 | 06004    | !
 RAN | 06004 | AVENUE D ADOUA                        |   67400 | 0600422223 | 06924    | !
 BAN | 06004 | AVENUE D ALGER                        |   67942 | 06004222VB | 06004    | !
 RAN | 06004 | AVENUE D ALGER                        |   67942 | 06004222VB | 06924    | !
 BAN | 06004 | AVENUE DE CANNES                      |   67416 | 060042222R | 06004    | !
 RAN | 06004 | AVENUE DE CANNES                      |   67416 | 060042222R | 06924    | !
 BAN | 06004 | AVENUE DE L ANTIQUITE                 |   67961 | 06004222X3 | 06004    | !
 RAN | 06004 | AVENUE DE L ANTIQUITE                 |   67961 | 06004222X3 | 06924    | !
 BAN | 06004 | AVENUE DE LA PINEDE                   |   67772 | 06004222MS | 06004    | !
 RAN | 06004 | AVENUE DE LA PINEDE                   |   67772 | 06004222MS | 06924    | !
 BAN | 06004 | AVENUE DE LA ROSTAGNE                 |   67936 | 06004222V3 | 06004    | !
 RAN | 06004 | AVENUE DE LA ROSTAGNE                 |   67936 | 06004222V3 | 06924    | !
 BAN | 06004 | AVENUE DE LA SALIS                    |   67958 | 06004222VY | 06004    | !
 RAN | 06004 | AVENUE DE LA SALIS                    |   67958 | 06004222VY | 06924    | !
 BAN | 06004 | AVENUE DE LA TOUR GANDOLPHE           |   67987 | 06004222Y4 | 06004    | !
 RAN | 06004 | AVENUE DE LA TOUR GANDOLPHE           |   67987 | 06004222Y4 | 06924    | !
 BAN | 06004 | AVENUE DE LAVERNE                     |   68007 | 06004222YX | 06004    | !
 RAN | 06004 | AVENUE DE LAVERNE                     |   68007 | 06004222YX | 06924    | !
 BAN | 06004 | AVENUE DE LERINS                      |   67467 | 060042224S | 06004    | !
 RAN | 06004 | AVENUE DE LERINS                      |   67467 | 060042224S | 06924    | !
 BAN | 06004 | AVENUE DE L ESTEREL                   |   67437 | 060042223L | 06004    | !
 RAN | 06004 | AVENUE DE L ESTEREL                   |   67437 | 060042223L | 06924    | !
 BAN | 06004 | AVENUE DE L EUROPE                    |   67440 | 060042223P | 06004    | !
 RAN | 06004 | AVENUE DE L EUROPE                    |   67440 | 060042223P | 06924    | !
 BAN | 06004 | AVENUE DE L ORANGERIE                 | 2500921 | 060042234C | 06004    | !
 RAN | 06004 | AVENUE DE L ORANGERIE                 |   67747 | 06004222LT | 06004    | !
 BAN | 06004 | AVENUE DES AMPHORES                   |   67403 | 0600422227 | 06004    | !
 RAN | 06004 | AVENUE DES AMPHORES                   |   67403 | 0600422227 | 06924    | !
 BAN | 06004 | AVENUE DES CACTUS                     |   67589 | 06004222BN | 06004    | !
 RAN | 06004 | AVENUE DES CACTUS                     |   67589 | 06004222BN | 06924    | !
 BAN | 06004 | AVENUE DES CEDRES                     |   68001 | 06004222YP | 06004    | !
 RAN | 06004 | AVENUE DES CEDRES                     |   68001 | 06004222YP | 06924    | !
 BAN | 06004 | AVENUE DES CHENES VERTS               |   67981 | 06004222XV | 06004    | !
 RAN | 06004 | AVENUE DES CHENES VERTS               |   67981 | 06004222XV | 06924    | !
 BAN | 06004 | AVENUE DES EUCALYPTUS                 |   67438 | 060042223M | 06004    | !
 RAN | 06004 | AVENUE DES EUCALYPTUS                 |   67438 | 060042223M | 06924    | !
 BAN | 06004 | AVENUE DES GRANDS DUCS                |   67968 | 06004222XC | 06004    | !
 RAN | 06004 | AVENUE DES GRANDS DUCS                |   67968 | 06004222XC | 06924    | !
 BAN | 06004 | AVENUE DES LAURIERS                   |   67465 | 060042224P | 06004    | !
 RAN | 06004 | AVENUE DES LAURIERS                   |   67465 | 060042224P | 06924    | !
 BAN | 06004 | AVENUE DES LUCIOLES                   |   67471 | 060042224X | 06004    | !
 RAN | 06004 | AVENUE DES LUCIOLES                   |   67471 | 060042224X | 06924    | !
 BAN | 06004 | AVENUE DES MARECHAUX                  |   67974 | 06004222XM | 06004    | !
 RAN | 06004 | AVENUE DES MARECHAUX                  |   67974 | 06004222XM | 06924    | !
 BAN | 06004 | AVENUE DES MURIERS                    |   68009 | 06004222YY | 06004    | !
 RAN | 06004 | AVENUE DES MURIERS                    |   68009 | 06004222YY | 06924    | !
 BAN | 06004 | AVENUE DES OISEAUX                    |   67481 | 060042226B | 06004    | !
 RAN | 06004 | AVENUE DES OISEAUX                    |   67481 | 060042226B | 06924    | !
 BAN | 06004 | AVENUE DES PALMIERS                   |   67486 | 060042226I | 06004    | !
 RAN | 06004 | AVENUE DES PALMIERS                   |   67486 | 060042226I | 06924    | !
 BAN | 06004 | AVENUE DES PECHEURS                   |   67994 | 06004222YE | 06004    | !
 RAN | 06004 | AVENUE DES PECHEURS                   |   67994 | 06004222YE | 06924    | !
 BAN | 06004 | AVENUE DES PINS DU CAP                |   67977 | 06004222XR | 06004    | !
 RAN | 06004 | AVENUE DES PINS DU CAP                |   67977 | 06004222XR | 06924    | !
 BAN | 06004 | AVENUE DES PINS PARASOLS              |   67487 | 060042226L | 06004    | !
 RAN | 06004 | AVENUE DES PINS PARASOLS              |   67487 | 060042226L | 06924    | !
 BAN | 06004 | AVENUE DES PRINCES                    |   67978 | 06004222XS | 06004    | !
 RAN | 06004 | AVENUE DES PRINCES                    |   67978 | 06004222XS | 06924    | !
 BAN | 06004 | AVENUE DES ROCHERS                    |   67795 | 06004222NP | 06004    | !
 RAN | 06004 | AVENUE DES ROCHERS                    |   67795 | 06004222NP | 06924    | !
 BAN | 06004 | AVENUE DOCTEUR DAUTHEVILLE            |   67430 | 060042223A | 06004    | !
 RAN | 06004 | AVENUE DOCTEUR DAUTHEVILLE            |   67430 | 060042223A | 06924    | !
 BAN | 06004 | AVENUE D ORAN                         |   67953 | 06004222VS | 06004    | !
 RAN | 06004 | AVENUE D ORAN                         |   67953 | 06004222VS | 06924    | !
 BAN | 06004 | AVENUE DU BOSQUET                     |   67999 | 06004222YM | 06004    | !
 RAN | 06004 | AVENUE DU BOSQUET                     |   67999 | 06004222YM | 06924    | !
 BAN | 06004 | AVENUE DU JONQUET                     |   67971 | 06004222XH | 06004    | !
 RAN | 06004 | AVENUE DU JONQUET                     |   67971 | 06004222XH | 06924    | !
 BAN | 06004 | AVENUE DU RUSQUET                     | 2500931 | 060042234R | 06004    | !
 RAN | 06004 | AVENUE DU RUSQUET                     | 2500931 | 060042234R | 06924    | !
 BAN | 06004 | AVENUE EDMOND D ESCLEVIN              |   67436 | 060042223I | 06004    | !
 RAN | 06004 | AVENUE EDMOND D ESCLEVIN              |   67436 | 060042223I | 06924    | !
 BAN | 06004 | AVENUE EL SOL                         |   67502 | 0600422276 | 06004    | !
 RAN | 06004 | AVENUE EL SOL                         |   67502 | 0600422276 | 06924    | !
 BAN | 06004 | AVENUE ERNEST GAUTHIER                |   67451 | 0600422244 | 06004    | !
 RAN | 06004 | AVENUE ERNEST GAUTHIER                |   67451 | 0600422244 | 06924    | !
 BAN | 06004 | AVENUE FELIX BESSY                    |   67983 | 06004222XY | 06004    | !
 RAN | 06004 | AVENUE FELIX BESSY                    |   67983 | 06004222XY | 06924    | !
 BAN | 06004 | AVENUE GENERAL FERRIE                 |   67443 | 060042223T | 06004    | !
 RAN | 06004 | AVENUE GENERAL FERRIE                 |   67443 | 060042223T | 06924    | !
 BAN | 06004 | AVENUE GEORGES CUVIER                 |   67966 | 06004222XA | 06004    | !
 RAN | 06004 | AVENUE GEORGES CUVIER                 |   67966 | 06004222XA | 06924    | !
 BAN | 06004 | AVENUE GEORGES GALLICE                |   67447 | 060042223Y | 06004    | !
 RAN | 06004 | AVENUE GEORGES GALLICE                |   67447 | 060042223Y | 06924    | !
 BAN | 06004 | AVENUE GUIDE                          |   67970 | 06004222XG | 06004    | !
 RAN | 06004 | AVENUE GUIDE                          |   67970 | 06004222XG | 06924    | !
 BAN | 06004 | AVENUE HECTOR BERLIOZ                 |   67412 | 060042222L | 06004    | !
 RAN | 06004 | AVENUE HECTOR BERLIOZ                 |   67412 | 060042222L | 06924    | !
 BAN | 06004 | AVENUE HENRI DUVERNOIS                |   67986 | 06004222Y3 | 06004    | !
 RAN | 06004 | AVENUE HENRI DUVERNOIS                |   67986 | 06004222Y3 | 06924    | !
 BAN | 06004 | AVENUE JACQUES CARTIER                |   67419 | 060042222U | 06004    | !
 RAN | 06004 | AVENUE JACQUES CARTIER                |   67419 | 060042222U | 06924    | !
 BAN | 06004 | AVENUE JEANNE D ARC                   |   67404 | 0600422229 | 06004    | !
 RAN | 06004 | AVENUE JEANNE D ARC                   |   67404 | 0600422229 | 06924    | !
 BAN | 06004 | AVENUE JULES VERNE                    |   67980 | 06004222XU | 06004    | !
 RAN | 06004 | AVENUE JULES VERNE                    |   67980 | 06004222XU | 06924    | !
 BAN | 06004 | AVENUE LOUISE                         |   67470 | 060042224V | 06004    | !
 RAN | 06004 | AVENUE LOUISE                         |   67470 | 060042224V | 06924    | !
 BAN | 06004 | AVENUE LOUIS GALLET                   |   67446 | 060042223X | 06004    | !
 RAN | 06004 | AVENUE LOUIS GALLET                   |   67446 | 060042223X | 06924    | !
 BAN | 06004 | AVENUE MALESPINE                      |   67973 | 06004222XL | 06004    | !
 RAN | 06004 | AVENUE MALESPINE                      |   67973 | 06004222XL | 06924    | !
 BAN | 06004 | AVENUE MARC PUGNAIRE                  | 2868665 | 0600422367 | 06004    | !
 RAN | 06004 | AVENUE MARC PUGNAIRE                  | 2868665 | 0600422367 | 06924    | !
 BAN | 06004 | AVENUE MARECHAL DE LATTRE DE TASSIGNY |   67506 | 060042227B | 06004    | !
 RAN | 06004 | AVENUE MARECHAL DE LATTRE DE TASSIGNY |   67506 | 060042227B | 06924    | !
 BAN | 06004 | AVENUE MRS L D BEAUMONT               |   68034 | 06004222ZY | 06004    | !
 RAN | 06004 | AVENUE MRS L D BEAUMONT               |   68034 | 06004222ZY | 06924    | !
 BAN | 06004 | AVENUE NICOLAS AUSSEL                 |   67406 | 060042222B | 06004    | !
 RAN | 06004 | AVENUE NICOLAS AUSSEL                 |   67406 | 060042222B | 06924    | !
 BAN | 06004 | AVENUE NOTRE DAME                     |   67428 | 0600422237 | 06004    | !
 RAN | 06004 | AVENUE NOTRE DAME                     |   67428 | 0600422237 | 06924    | !
 BAN | 06004 | AVENUE PIERRE CURIE                   |   67427 | 0600422236 | 06004    | !
 RAN | 06004 | AVENUE PIERRE CURIE                   |   67427 | 0600422236 | 06924    | !
 BAN | 06004 | AVENUE RENE BARTHELEMY                |   67409 | 060042222G | 06004    | !
 RAN | 06004 | AVENUE RENE BARTHELEMY                |   67409 | 060042222G | 06924    | !
 BAN | 06004 | AVENUE ROUAZE                         |   67996 | 06004222YH | 06004    | !
 RAN | 06004 | AVENUE ROUAZE                         |   67996 | 06004222YH | 06924    | !
 BAN | 06004 | AVENUE SAINTE MARGUERITE              |   67473 | 060042224Z | 06004    | !
 RAN | 06004 | AVENUE SAINTE MARGUERITE              |   67473 | 060042224Z | 06924    | !
 BAN | 06004 | AVENUE SARAMARTEL                     |   67499 | 0600422272 | 06004    | !
 RAN | 06004 | AVENUE SARAMARTEL                     |   67499 | 0600422272 | 06924    | !
 BAN | 06004 | AVENUE VILMORIN                       |   67514 | 060042227N | 06004    | !
 RAN | 06004 | AVENUE VILMORIN                       |   67514 | 060042227N | 06924    | !
 BAN | 06004 | BOULEVARD BAPTISTIN ARDISSON          |   67916 | 06004222UB | 06004    | !
 RAN | 06004 | BOULEVARD BAPTISTIN ARDISSON          |   67916 | 06004222UB | 06924    | !
 BAN | 06004 | BOULEVARD BIJOU PLAGE                 |   67493 | 060042226T | 06004    | !
 RAN | 06004 | BOULEVARD BIJOU PLAGE                 |   67493 | 060042226T | 06924    | !
 BAN | 06004 | BOULEVARD CHARLES GUILLAUMONT         |   67454 | 0600422249 | 06004    | !
 RAN | 06004 | BOULEVARD CHARLES GUILLAUMONT         |   67454 | 0600422249 | 06924    | !
 BAN | 06004 | BOULEVARD DE BACON                    |   67982 | 06004222XX | 06004    | !
 RAN | 06004 | BOULEVARD DE BACON                    |   67982 | 06004222XX | 06924    | !
 BAN | 06004 | BOULEVARD DE LA GAROUPE               |   67988 | 06004222Y6 | 06004    | !
 RAN | 06004 | BOULEVARD DE LA GAROUPE               |   67988 | 06004222Y6 | 06924    | !
 BAN | 06004 | BOULEVARD DE LA PINEDE                |   67489 | 060042226N | 06004    | !
 RAN | 06004 | BOULEVARD DE LA PINEDE                |   67489 | 060042226N | 06924    | !
 BAN | 06004 | BOULEVARD DES NATIONS                 |   67480 | 060042226A | 06004    | !
 RAN | 06004 | BOULEVARD DES NATIONS                 |   67480 | 060042226A | 06924    | !
 BAN | 06004 | BOULEVARD DU CAP                      |   67965 | 06004222X9 | 06004    | !
 RAN | 06004 | BOULEVARD DU CAP                      |   67965 | 06004222X9 | 06924    | !
 BAN | 06004 | BOULEVARD DU MARECHAL JUIN            |   68023 | 06004222ZI | 06004    | !
 RAN | 06004 | BOULEVARD DU MARECHAL JUIN            |   68023 | 06004222ZI | 06924    | !
 BAN | 06004 | BOULEVARD EDOUARD BAUDOIN             |   67411 | 060042222I | 06004    | !
 RAN | 06004 | BOULEVARD EDOUARD BAUDOIN             |   67411 | 060042222I | 06924    | !
 BAN | 06004 | BOULEVARD FRANCIS MEILLAND            |   67992 | 06004222YB | 06004    | !
 RAN | 06004 | BOULEVARD FRANCIS MEILLAND            |   67992 | 06004222YB | 06924    | !
 BAN | 06004 | BOULEVARD GARDIOLE BACON              |   67962 | 06004222X4 | 06004    | !
 RAN | 06004 | BOULEVARD GARDIOLE BACON              |   67962 | 06004222X4 | 06924    | !
 BAN | 06004 | BOULEVARD JAMES WYLLIE                |   67960 | 06004222X2 | 06004    | !
 RAN | 06004 | BOULEVARD JAMES WYLLIE                |   67960 | 06004222X2 | 06924    | !
 BAN | 06004 | BOULEVARD NOTRE DAME                  |   67967 | 06004222XB | 06004    | !
 RAN | 06004 | BOULEVARD NOTRE DAME                  |   67967 | 06004222XB | 06924    | !
 BAN | 06004 | BOULEVARD RAYMOND POINCARE            |   67494 | 060042226U | 06004    | !
 RAN | 06004 | BOULEVARD RAYMOND POINCARE            |   67494 | 060042226U | 06924    | !
 BAN | 06004 | CHEMIN BRETON                         |   67414 | 060042222N | 06004    | !
 RAN | 06004 | CHEMIN BRETON                         |   67414 | 060042222N | 06924    | !
 BAN | 06004 | CHEMIN CANTOGRIL                      |   67417 | 060042222S | 06004    | !
 RAN | 06004 | CHEMIN CANTOGRIL                      |   67417 | 060042222S | 06924    | !
 BAN | 06004 | CHEMIN DE GUERANDE                    |   68005 | 06004222YU | 06004    | !
 RAN | 06004 | CHEMIN DE GUERANDE                    |   68005 | 06004222YU | 06924    | !
 BAN | 06004 | CHEMIN DE LA COLLE                    |   67421 | 060042222X | 06004    | !
 RAN | 06004 | CHEMIN DE LA COLLE                    |   67421 | 060042222X | 06924    | !
 BAN | 06004 | CHEMIN DE LA GAROUPE                  |   67989 | 06004222Y7 | 06004    | !
 RAN | 06004 | CHEMIN DE LA GAROUPE                  |   67989 | 06004222Y7 | 06924    | !
 BAN | 06004 | CHEMIN DE LA GRIMPETTE                |   67452 | 0600422246 | 06004    | !
 RAN | 06004 | CHEMIN DE LA GRIMPETTE                |   67452 | 0600422246 | 06924    | !
 BAN | 06004 | CHEMIN DE LA PINEDE                   |   67490 | 060042226P | 06004    | !
 RAN | 06004 | CHEMIN DE LA PINEDE                   |   67490 | 060042226P | 06924    | !
 BAN | 06004 | CHEMIN DE LA PLAGE                    |   67995 | 06004222YG | 06004    | !
 RAN | 06004 | CHEMIN DE LA PLAGE                    |   67995 | 06004222YG | 06924    | !
 BAN | 06004 | CHEMIN DE L ASMODEE                   |   68000 | 06004222YN | 06004    | !
 RAN | 06004 | CHEMIN DE L ASMODEE                   |   68000 | 06004222YN | 06924    | !
 BAN | 06004 | CHEMIN DE LAUVERT                     |   67466 | 060042224R | 06004    | !
 RAN | 06004 | CHEMIN DE LAUVERT                     |   67466 | 060042224R | 06924    | !
 BAN | 06004 | CHEMIN DE L ERMITAGE                  |   67946 | 06004222VH | 06004    | !
 RAN | 06004 | CHEMIN DE L ERMITAGE                  |   67946 | 06004222VH | 06924    | !
 BAN | 06004 | CHEMIN DE L OLIVETTE                  |   68030 | 06004222ZT | 06004    | !
 RAN | 06004 | CHEMIN DE L OLIVETTE                  |   68030 | 06004222ZT | 06924    | !
 BAN | 06004 | CHEMIN DE L OUSTAL DORE               |   68002 | 06004222YR | 06004    | !
 RAN | 06004 | CHEMIN DE L OUSTAL DORE               |   68002 | 06004222YR | 06924    | !
 BAN | 06004 | CHEMIN DES CONTREBANDIERS             |   67985 | 06004222Y2 | 06004    | !
 RAN | 06004 | CHEMIN DES CONTREBANDIERS             |   67985 | 06004222Y2 | 06924    | !
 BAN | 06004 | CHEMIN DES EUCALYPTUS                 |   67439 | 060042223N | 06004    | !
 RAN | 06004 | CHEMIN DES EUCALYPTUS                 |   67439 | 060042223N | 06924    | !
 BAN | 06004 | CHEMIN DES ILES                       |   67458 | 060042224E | 06004    | !
 RAN | 06004 | CHEMIN DES ILES                       |   67458 | 060042224E | 06924    | !
 BAN | 06004 | CHEMIN DES INDICAS                    |   67684 | 06004222HB | 06004    | !
 RAN | 06004 | CHEMIN DES INDICAS                    |   67684 | 06004222HB | 06924    | !
 BAN | 06004 | CHEMIN DES LAURIERS                   |   67950 | 06004222VN | 06004    | !
 RAN | 06004 | CHEMIN DES LAURIERS                   |   67950 | 06004222VN | 06924    | !
 BAN | 06004 | CHEMIN DES LISERONS                   |   67468 | 060042224T | 06004    | !
 RAN | 06004 | CHEMIN DES LISERONS                   |   67468 | 060042224T | 06924    | !
 BAN | 06004 | CHEMIN DES MOUGINS                    |   67993 | 06004222YC | 06004    | !
 RAN | 06004 | CHEMIN DES MOUGINS                    |   67993 | 06004222YC | 06924    | !
 BAN | 06004 | CHEMIN DES NIELLES                    |   68028 | 06004222ZR | 06004    | !
 RAN | 06004 | CHEMIN DES NIELLES                    |   68028 | 06004222ZR | 06924    | !
 BAN | 06004 | CHEMIN DES ONDES                      |   68031 | 06004222ZU | 06004    | !
 RAN | 06004 | CHEMIN DES ONDES                      |   68031 | 06004222ZU | 06924    | !
 BAN | 06004 | CHEMIN DES SABLES                     |   67498 | 060042226Z | 06004    | !
 RAN | 06004 | CHEMIN DES SABLES                     |   67498 | 060042226Z | 06924    | !
 BAN | 06004 | CHEMIN DE VALLAURIS                   |   67510 | 060042227H | 06004    | !
 RAN | 06004 | CHEMIN DE VALLAURIS                   |   67510 | 060042227H | 06924    | !
 BAN | 06004 | CHEMIN DU CALVAIRE                    |   67984 | 06004222XZ | 06004    | !
 RAN | 06004 | CHEMIN DU CALVAIRE                    |   67984 | 06004222XZ | 06924    | !
 BAN | 06004 | CHEMIN DU COLOMBIER                   |   67423 | 060042222Z | 06004    | !
 RAN | 06004 | CHEMIN DU COLOMBIER                   |   67423 | 060042222Z | 06924    | !
 BAN | 06004 | CHEMIN DU CROUTON                     |   67425 | 0600422233 | 06004    | !
 RAN | 06004 | CHEMIN DU CROUTON                     |   67425 | 0600422233 | 06924    | !
 BAN | 06004 | CHEMIN DU PARC SARAMARTEL             |   67501 | 0600422274 | 06004    | !
 RAN | 06004 | CHEMIN DU PARC SARAMARTEL             |   67501 | 0600422274 | 06924    | !
 BAN | 06004 | CHEMIN DU TAMISIER                    |   67504 | 0600422279 | 06004    | !
 RAN | 06004 | CHEMIN DU TAMISIER                    |   67504 | 0600422279 | 06924    | !
 BAN | 06004 | CHEMIN GASTAUD                        |   67450 | 0600422243 | 06004    | !
 RAN | 06004 | CHEMIN GASTAUD                        |   67450 | 0600422243 | 06924    | !
 BAN | 06004 | CHEMIN PREYNAT                        |   67775 | 06004222MV | 06004    | !
 RAN | 06004 | CHEMIN PREYNAT                        |   67775 | 06004222MV | 06924    | !
 BAN | 06004 | IMPASSE BOUVARD                       |   67413 | 060042222M | 06004    | !
 RAN | 06004 | IMPASSE BOUVARD                       |   67413 | 060042222M | 06924    | !
 BAN | 06004 | IMPASSE DES FLEURS                    |   67519 | 060042227U | 06004    | !
 RAN | 06004 | IMPASSE DES FLEURS                    |   67519 | 060042227U | 06924    | !
 BAN | 06004 | IMPASSE DES OLIVIERS                  |   68047 | 060042232H | 06004    | !
 RAN | 06004 | IMPASSE DES OLIVIERS                  |   68047 | 060042232H | 06924    | !
 BAN | 06004 | IMPASSE DU JONQUET                    |   67990 | 06004222Y9 | 06004    | !
 RAN | 06004 | IMPASSE DU JONQUET                    |   67990 | 06004222Y9 | 06924    | !
 BAN | 06004 | IMPASSE DU TRIANON                    |   67509 | 060042227G | 06004    | !
 RAN | 06004 | IMPASSE DU TRIANON                    |   67509 | 060042227G | 06924    | !
 BAN | 06004 | IMPASSE JUAN                          |   67464 | 060042224N | 06004    | !
 RAN | 06004 | IMPASSE JUAN                          |   67464 | 060042224N | 06924    | !
 BAN | 06004 | IMPASSE SAINTE THERESE                |   67508 | 060042227E | 06004    | !
 RAN | 06004 | IMPASSE SAINTE THERESE                |   67508 | 060042227E | 06924    | !
 BAN | 06004 | IMPASSE SAUVAGETTE                    |   67997 | 06004222YI | 06004    | !
 RAN | 06004 | IMPASSE SAUVAGETTE                    |   67997 | 06004222YI | 06924    | !
